,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13
POS,0.0,1.0,2.0,5.0,4.0,5.0,6.0,4.0,7.0
NEG,1.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0
num_tw,9.0,4.0,5.0,12.0,14.0,7.0,22.0,92.0,51.0
SA,-1.0,0.0,1.0,3.0,2.0,5.0,6.0,2.0,5.0
SR,-1.0,0.0,0.3333333333333333,0.42857142857142855,0.3333333333333333,1.0,1.0,0.3333333333333333,0.5555555555555556
