,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13
POS,1.0,1.0,2.0,4.0,2.0,2.0,4.0,1.0,0.0
NEG,1.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,2.0
num_tw,3.0,5.0,4.0,4.0,5.0,3.0,14.0,1.0,3.0
SA,0.0,1.0,2.0,4.0,-1.0,1.0,1.0,1.0,-2.0
SR,0.0,1.0,1.0,1.0,-0.2,0.3333333333333333,0.14285714285714285,1.0,-1.0
