,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13
POS,27.0,14.0,25.0,26.0,19.0,46.0,19.0,6.0,6.0
NEG,5.0,3.0,6.0,10.0,11.0,28.0,2.0,1.0,0.0
num_tw,49.0,28.0,72.0,61.0,40.0,102.0,31.0,16.0,11.0
SA,22.0,11.0,19.0,16.0,8.0,18.0,17.0,5.0,6.0
SR,0.6875,0.6470588235294118,0.6129032258064516,0.4444444444444444,0.26666666666666666,0.24324324324324326,0.8095238095238095,0.7142857142857143,1.0
