,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13
POS,6.0,5.0,20.0,8.0,15.0,65.0,22.0,8.0,4.0
NEG,1.0,0.0,2.0,4.0,6.0,16.0,6.0,3.0,1.0
num_tw,11.0,10.0,30.0,16.0,33.0,116.0,42.0,22.0,12.0
SA,5.0,5.0,18.0,4.0,9.0,49.0,16.0,5.0,3.0
SR,0.7142857142857143,1.0,0.8181818181818182,0.3333333333333333,0.42857142857142855,0.6049382716049383,0.5714285714285714,0.45454545454545453,0.6
