,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13
POS,3.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0
NEG,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
num_tw,4.0,5.0,7.0,6.0,2.0,3.0,5.0,1.0,1.0
SA,3.0,0.0,1.0,2.0,2.0,2.0,2.0,-1.0,0.0
SR,1.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0
