,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13
POS,6.0,3.0,3.0,6.0,3.0,10.0,2.0,0.0,0.0
NEG,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
num_tw,9.0,6.0,5.0,7.0,5.0,15.0,4.0,1.0,1.0
SA,5.0,2.0,3.0,6.0,3.0,8.0,2.0,0.0,0.0
SR,0.7142857142857143,0.5,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.0
