,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13
POS,7.0,20.0,9.0,5.0,0.0,4.0,3.0,5.0,3.0
NEG,2.0,2.0,4.0,3.0,2.0,8.0,1.0,0.0,3.0
num_tw,12.0,23.0,17.0,11.0,7.0,18.0,5.0,13.0,9.0
SA,5.0,18.0,5.0,2.0,-2.0,-4.0,2.0,5.0,0.0
SR,0.5555555555555556,0.8181818181818182,0.38461538461538464,0.25,-1.0,-0.3333333333333333,0.5,1.0,0.0
