,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13
POS,1.0,0.0,2.0,6.0,4.0,1.0,5.0,0.0,1.0
NEG,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
num_tw,4.0,1.0,2.0,9.0,7.0,2.0,6.0,1.0,2.0
SA,-1.0,-1.0,2.0,4.0,4.0,1.0,5.0,0.0,1.0
SR,-0.3333333333333333,-1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0
