,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13
POS,3.0,3.0,17.0,21.0,21.0,12.0,11.0,13.0,10.0
NEG,0.0,1.0,3.0,6.0,12.0,2.0,1.0,0.0,5.0
num_tw,9.0,9.0,39.0,45.0,55.0,22.0,27.0,17.0,17.0
SA,3.0,2.0,14.0,15.0,9.0,10.0,10.0,13.0,5.0
SR,1.0,0.5,0.7,0.5555555555555556,0.2727272727272727,0.7142857142857143,0.8333333333333334,1.0,0.3333333333333333
