,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13
POS,263.0,305.0,396.0,346.0,301.0,317.0,164.0,126.0,157.0
NEG,35.0,93.0,110.0,117.0,136.0,115.0,64.0,30.0,57.0
num_tw,386.0,643.0,791.0,663.0,710.0,631.0,364.0,218.0,346.0
SA,228.0,212.0,286.0,229.0,165.0,202.0,100.0,96.0,100.0
SR,0.7651006711409396,0.5326633165829145,0.5652173913043478,0.4946004319654428,0.37757437070938216,0.4675925925925926,0.43859649122807015,0.6153846153846154,0.4672897196261682
