,Time,neg,neu,pos,compound,Score
99,2020-12-11,0.0,0.95,0.05,0.4019,1
100,2020-12-11,0.0,0.682,0.318,0.6369,1
101,2020-12-11,0.0,0.929,0.071,0.3818,1
102,2020-12-11,0.0,0.819,0.181,0.6369,1
103,2020-12-11,0.0,0.929,0.071,0.3818,1
104,2020-12-11,0.0,1.0,0.0,0.0,0
105,2020-12-11,0.0,1.0,0.0,0.0,0
106,2020-12-11,0.0,0.625,0.375,0.6369,1
107,2020-12-11,0.0,0.625,0.375,0.6369,1
108,2020-12-11,0.0,0.881,0.119,0.4019,1
109,2020-12-11,0.0,0.95,0.05,0.4019,1
110,2020-12-11,0.0,1.0,0.0,0.0,0
111,2020-12-11,0.0,1.0,0.0,0.0,0
112,2020-12-11,0.0,1.0,0.0,0.0,0
113,2020-12-11,0.0,0.847,0.153,0.4019,1
114,2020-12-11,0.164,0.716,0.119,-0.1796,-1
115,2020-12-11,0.0,0.867,0.133,0.4588,1
116,2020-12-11,0.0,1.0,0.0,0.0,0
117,2020-12-10,0.0,1.0,0.0,0.0,0
118,2020-12-10,0.069,0.889,0.042,-0.1195,-1
119,2020-12-10,0.051,0.949,0.0,-0.4278,-1
120,2020-12-10,0.0,0.799,0.201,0.7003,1
121,2020-12-10,0.0,0.873,0.127,0.6997,1
122,2020-12-10,0.0,0.905,0.095,0.296,1
123,2020-12-10,0.0,0.905,0.095,0.296,1
124,2020-12-10,0.0,1.0,0.0,0.0,0
125,2020-12-10,0.0,0.745,0.255,0.5859,1
126,2020-12-10,0.0,1.0,0.0,0.0,0
127,2020-12-10,0.0,0.82,0.18,0.296,1
128,2020-12-10,0.0,0.698,0.302,0.9136,1
129,2020-12-10,0.0,1.0,0.0,0.0,0
130,2020-12-10,0.0,1.0,0.0,0.0,0
131,2020-12-10,0.0,1.0,0.0,0.0,0
132,2020-12-10,0.0,0.791,0.209,0.7456,1
133,2020-12-10,0.174,0.826,0.0,-0.4084,-1
134,2020-12-10,0.0,0.839,0.161,0.3182,1
135,2020-12-10,0.0,0.908,0.092,0.6523,1
136,2020-12-10,0.0,0.891,0.109,0.296,1
137,2020-12-10,0.068,0.932,0.0,-0.4278,-1
138,2020-12-10,0.0,1.0,0.0,0.0,0
139,2020-12-10,0.0,1.0,0.0,0.0,0
140,2020-12-10,0.0,0.827,0.173,0.5267,1
141,2020-12-10,0.0,0.868,0.132,0.8553,1
142,2020-12-10,0.0,0.868,0.132,0.8553,1
143,2020-12-10,0.0,1.0,0.0,0.0,0
144,2020-12-10,0.0,0.662,0.338,0.9413,1
145,2020-12-10,0.0,1.0,0.0,0.0,0
146,2020-12-10,0.0,0.58,0.42,0.4404,1
147,2020-12-10,0.0,0.873,0.127,0.6997,1
148,2020-12-10,0.0,1.0,0.0,0.0,0
149,2020-12-10,0.0,1.0,0.0,0.0,0
150,2020-12-10,0.0,1.0,0.0,0.0,0
151,2020-12-10,0.0,1.0,0.0,0.0,0
152,2020-12-10,0.0,1.0,0.0,0.0,0
153,2020-12-10,0.0,0.82,0.18,0.296,1
154,2020-12-10,0.216,0.784,0.0,-0.296,-1
155,2020-12-10,0.0,0.919,0.081,0.5574,1
156,2020-12-10,0.0,1.0,0.0,0.0,0
157,2020-12-10,0.0,1.0,0.0,0.0,0
158,2020-12-10,0.0,0.82,0.18,0.296,1
159,2020-12-10,0.0,1.0,0.0,0.0,0
160,2020-12-10,0.198,0.802,0.0,-0.5719,-1
161,2020-12-10,0.0,0.919,0.081,0.5574,1
162,2020-12-10,0.216,0.784,0.0,-0.296,-1
163,2020-12-10,0.0,1.0,0.0,0.0,0
164,2020-12-10,0.0,1.0,0.0,0.0,0
165,2020-12-10,0.146,0.73,0.124,-0.1027,-1
166,2020-12-10,0.0,0.891,0.109,0.5267,1
167,2020-12-10,0.0,0.911,0.089,0.5719,1
168,2020-12-10,0.0,1.0,0.0,0.0,0
169,2020-12-10,0.0,0.864,0.136,0.296,1
170,2020-12-10,0.0,1.0,0.0,0.0,0
171,2020-12-10,0.216,0.784,0.0,-0.296,-1
172,2020-12-10,0.0,0.761,0.239,0.296,1
173,2020-12-10,0.0,1.0,0.0,0.0,0
174,2020-12-10,0.0,1.0,0.0,0.0,0
175,2020-12-10,0.0,1.0,0.0,0.0,0
176,2020-12-10,0.146,0.73,0.124,-0.1027,-1
177,2020-12-10,0.0,0.891,0.109,0.5267,1
178,2020-12-10,0.0,0.911,0.089,0.5719,1
179,2020-12-10,0.0,1.0,0.0,0.0,0
180,2020-12-10,0.0,1.0,0.0,0.0,0
181,2020-12-10,0.0,1.0,0.0,0.0,0
182,2020-12-10,0.0,0.864,0.136,0.296,1
183,2020-12-10,0.172,0.828,0.0,-0.6808,-1
184,2020-12-10,0.0,1.0,0.0,0.0,0
185,2020-12-10,0.0,1.0,0.0,0.0,0
186,2020-12-10,0.0,0.911,0.089,0.5719,1
187,2020-12-10,0.0,0.861,0.139,0.5719,1
188,2020-12-09,0.0,1.0,0.0,0.0,0
189,2020-12-09,0.0,0.905,0.095,0.296,1
190,2020-12-09,0.069,0.889,0.042,-0.1195,-1
191,2020-12-09,0.028,0.85,0.123,0.5859,1
192,2020-12-09,0.069,0.889,0.042,-0.1195,-1
193,2020-12-09,0.069,0.889,0.042,-0.1195,-1
194,2020-12-09,0.0,0.862,0.138,0.1139,1
195,2020-12-09,0.0,0.883,0.117,0.6486,1
196,2020-12-09,0.0,0.794,0.206,0.872,1
197,2020-12-09,0.059,0.799,0.142,0.5569,1
198,2020-12-09,0.0,0.948,0.052,0.3818,1
199,2020-12-09,0.0,0.896,0.104,0.6369,1
200,2020-12-09,0.022,0.862,0.117,0.7424,1
201,2020-12-09,0.106,0.854,0.04,-0.4215,-1
202,2020-12-09,0.0,0.78,0.22,0.9001,1
203,2020-12-09,0.0,0.889,0.111,0.6808,1
204,2020-12-09,0.0,0.87,0.13,0.4939,1
205,2020-12-09,0.069,0.889,0.042,-0.1195,-1
206,2020-12-09,0.0,0.648,0.352,0.8225,1
207,2020-12-09,0.0,1.0,0.0,0.0,0
208,2020-12-09,0.0,1.0,0.0,0.0,0
209,2020-12-09,0.0,1.0,0.0,0.0,0
210,2020-12-09,0.0,1.0,0.0,0.0,0
211,2020-12-09,0.0,0.859,0.141,0.6258,1
212,2020-12-09,0.0,0.911,0.089,0.5719,1
213,2020-12-09,0.0,0.907,0.093,0.4404,1
214,2020-12-09,0.0,0.82,0.18,0.296,1
215,2020-12-09,0.0,0.806,0.194,0.34,1
216,2020-12-09,0.0,1.0,0.0,0.0,0
217,2020-12-09,0.0,0.773,0.227,0.4767,1
218,2020-12-09,0.062,0.9,0.038,-0.3034,-1
219,2020-12-09,0.0,1.0,0.0,0.0,0
220,2020-12-09,0.0,0.58,0.42,0.4404,1
221,2020-12-09,0.0,0.901,0.099,0.296,1
222,2020-12-09,0.0,1.0,0.0,0.0,0
223,2020-12-09,0.0,0.911,0.089,0.5719,1
224,2020-12-09,0.0,0.861,0.139,0.5719,1
225,2020-12-09,0.0,0.791,0.209,0.6486,1
226,2020-12-09,0.0,0.706,0.294,0.8979,1
227,2020-12-09,0.0,0.667,0.333,0.875,1
