,Time,neg,neu,pos,compound,Score
100,2020-12-10,0.158,0.729,0.113,-0.296,-1
101,2020-12-10,0.075,0.864,0.061,-0.1779,-1
102,2020-12-10,0.053,0.742,0.206,0.802,1
103,2020-12-10,0.075,0.864,0.061,-0.1779,-1
104,2020-12-10,0.0,1.0,0.0,0.0,0
105,2020-12-10,0.106,0.768,0.127,0.25,1
106,2020-12-10,0.284,0.655,0.061,-0.872,-1
107,2020-12-10,0.0,1.0,0.0,0.0,0
108,2020-12-10,0.0,1.0,0.0,0.0,0
109,2020-12-10,0.0,0.955,0.045,0.2023,1
110,2020-12-10,0.0,0.954,0.046,0.2023,1
111,2020-12-10,0.0,0.954,0.046,0.2023,1
112,2020-12-10,0.118,0.882,0.0,-0.5267,-1
113,2020-12-10,0.0,0.936,0.064,0.296,1
114,2020-12-10,0.097,0.903,0.0,-0.4588,-1
115,2020-12-10,0.189,0.811,0.0,-0.8462,-1
116,2020-12-10,0.0,0.909,0.091,0.4939,1
117,2020-12-10,0.106,0.768,0.127,0.25,1
118,2020-12-10,0.0,1.0,0.0,0.0,0
119,2020-12-10,0.0,1.0,0.0,0.0,0
120,2020-12-10,0.106,0.768,0.127,0.25,1
121,2020-12-10,0.161,0.782,0.057,-0.5423,-1
122,2020-12-10,0.0,1.0,0.0,0.0,0
123,2020-12-10,0.0,0.847,0.153,0.7837,1
124,2020-12-10,0.0,0.895,0.105,0.4767,1
125,2020-12-10,0.0,0.847,0.153,0.7837,1
126,2020-12-10,0.083,0.853,0.064,-0.2263,-1
127,2020-12-10,0.118,0.882,0.0,-0.5267,-1
128,2020-12-10,0.189,0.811,0.0,-0.8462,-1
129,2020-12-10,0.0,0.909,0.091,0.4939,1
130,2020-12-10,0.0,0.771,0.229,0.8591,1
131,2020-12-10,0.0,0.895,0.105,0.4767,1
132,2020-12-10,0.106,0.768,0.127,0.25,1
133,2020-12-10,0.0,0.909,0.091,0.4939,1
134,2020-12-10,0.106,0.768,0.127,0.25,1
135,2020-12-10,0.052,0.795,0.152,0.6597,1
136,2020-12-10,0.0,0.895,0.105,0.4767,1
137,2020-12-10,0.0,0.847,0.153,0.7837,1
138,2020-12-10,0.083,0.853,0.064,-0.2263,-1
139,2020-12-10,0.106,0.768,0.127,0.25,1
140,2020-12-10,0.0,1.0,0.0,0.0,0
141,2020-12-10,0.0,0.771,0.229,0.8591,1
142,2020-12-10,0.0,0.771,0.229,0.8591,1
143,2020-12-10,0.0,0.909,0.091,0.4939,1
144,2020-12-10,0.189,0.811,0.0,-0.8462,-1
145,2020-12-10,0.116,0.741,0.144,0.1531,1
146,2020-12-10,0.0,1.0,0.0,0.0,0
147,2020-12-10,0.0,0.909,0.091,0.4939,1
148,2020-12-10,0.0,0.909,0.091,0.4939,1
149,2020-12-10,0.189,0.811,0.0,-0.8462,-1
150,2020-12-10,0.097,0.903,0.0,-0.4588,-1
151,2020-12-10,0.0,0.84,0.16,0.6369,1
152,2020-12-10,0.0,1.0,0.0,0.0,0
153,2020-12-10,0.118,0.882,0.0,-0.5267,-1
154,2020-12-10,0.0,0.936,0.064,0.296,1
155,2020-12-10,0.0,1.0,0.0,0.0,0
156,2020-12-10,0.0,1.0,0.0,0.0,0
157,2020-12-10,0.118,0.882,0.0,-0.5267,-1
158,2020-12-10,0.118,0.882,0.0,-0.5267,-1
159,2020-12-10,0.102,0.805,0.093,-0.1027,-1
160,2020-12-09,0.0,1.0,0.0,0.0,0
161,2020-12-09,0.054,0.946,0.0,-0.4019,-1
162,2020-12-09,0.0,0.677,0.323,0.9487,1
163,2020-12-09,0.102,0.805,0.093,-0.1027,-1
164,2020-12-09,0.0,1.0,0.0,0.0,0
165,2020-12-09,0.179,0.821,0.0,-0.8271,-1
166,2020-12-09,0.0,0.911,0.089,0.6369,1
167,2020-12-09,0.0,1.0,0.0,0.0,0
168,2020-12-09,0.0,0.911,0.089,0.6369,1
169,2020-12-09,0.122,0.878,0.0,-0.4932,-1
170,2020-12-09,0.074,0.619,0.307,0.9371,1
171,2020-12-09,0.074,0.619,0.307,0.9371,1
172,2020-12-09,0.0,0.903,0.097,0.4019,1
173,2020-12-09,0.0,0.815,0.185,0.6124,1
174,2020-12-09,0.0,0.815,0.185,0.6124,1
175,2020-12-09,0.0,0.892,0.108,0.4404,1
176,2020-12-09,0.0,1.0,0.0,0.0,0
177,2020-12-09,0.0,1.0,0.0,0.0,0
178,2020-12-09,0.189,0.811,0.0,-0.2732,-1
179,2020-12-09,0.189,0.811,0.0,-0.2732,-1
180,2020-12-09,0.138,0.789,0.074,-0.3777,-1
181,2020-12-09,0.0,0.752,0.248,0.8717,1
182,2020-12-09,0.0,1.0,0.0,0.0,0
183,2020-12-09,0.054,0.946,0.0,-0.4019,-1
184,2020-12-09,0.054,0.946,0.0,-0.4019,-1
185,2020-12-09,0.162,0.838,0.0,-0.508,-1
186,2020-12-09,0.0,1.0,0.0,0.0,0
187,2020-12-09,0.049,0.951,0.0,-0.3034,-1
188,2020-12-09,0.048,0.885,0.067,0.2363,1
189,2020-12-09,0.048,0.885,0.067,0.2363,1
190,2020-12-09,0.0,1.0,0.0,0.0,0
191,2020-12-09,0.0,0.724,0.276,0.6369,1
192,2020-12-09,0.0,1.0,0.0,0.0,0
193,2020-12-09,0.0,1.0,0.0,0.0,0
194,2020-12-09,0.0,0.864,0.136,0.4588,1
195,2020-12-09,0.048,0.885,0.067,0.2363,1
196,2020-12-09,0.048,0.885,0.067,0.2363,1
197,2020-12-09,0.095,0.747,0.158,0.516,1
198,2020-12-09,0.074,0.619,0.307,0.9371,1
199,2020-12-09,0.083,0.795,0.121,0.25,1
200,2020-12-08,0.0,1.0,0.0,0.0,0
201,2020-12-08,0.0,1.0,0.0,0.0,0
202,2020-12-08,0.0,1.0,0.0,0.0,0
203,2020-12-08,0.0,1.0,0.0,0.0,0
204,2020-12-08,0.0,0.864,0.136,0.4588,1
205,2020-12-08,0.102,0.805,0.093,-0.1027,-1
206,2020-12-08,0.065,0.745,0.191,0.831,1
207,2020-12-08,0.0,0.651,0.349,0.7096,1
208,2020-12-08,0.0,1.0,0.0,0.0,0
209,2020-12-08,0.112,0.888,0.0,-0.34,-1
210,2020-12-08,0.078,0.797,0.125,0.296,1
211,2020-12-08,0.0,1.0,0.0,0.0,0
212,2020-12-08,0.0,1.0,0.0,0.0,0
213,2020-12-08,0.0,1.0,0.0,0.0,0
214,2020-12-08,0.074,0.619,0.307,0.9371,1
215,2020-12-08,0.0,1.0,0.0,0.0,0
216,2020-12-08,0.074,0.619,0.307,0.9371,1
217,2020-12-08,0.0,0.893,0.107,0.5994,1
218,2020-12-08,0.075,0.925,0.0,-0.2732,-1
219,2020-12-08,0.106,0.812,0.081,-0.0516,-1
220,2020-12-08,0.0,1.0,0.0,0.0,0
221,2020-12-08,0.0,0.878,0.122,0.5106,1
222,2020-12-08,0.0,0.955,0.045,0.2023,1
223,2020-12-08,0.0,1.0,0.0,0.0,0
224,2020-12-08,0.0,1.0,0.0,0.0,0
225,2020-12-08,0.0,0.878,0.122,0.5106,1
226,2020-12-08,0.0,1.0,0.0,0.0,0
227,2020-12-08,0.0,1.0,0.0,0.0,0
228,2020-12-08,0.0,1.0,0.0,0.0,0
229,2020-12-08,0.0,0.805,0.195,0.1779,1
230,2020-12-08,0.174,0.727,0.099,-0.6531,-1
231,2020-12-08,0.0,0.805,0.195,0.1779,1
232,2020-12-08,0.0,0.847,0.153,0.4019,1
233,2020-12-08,0.0,1.0,0.0,0.0,0
234,2020-12-08,0.0,0.927,0.073,0.3182,1
235,2020-12-08,0.083,0.795,0.121,0.25,1
236,2020-12-08,0.15,0.712,0.138,0.2959,1
237,2020-12-08,0.0,0.893,0.107,0.4993,1
238,2020-12-08,0.0,1.0,0.0,0.0,0
239,2020-12-08,0.0,1.0,0.0,0.0,0
240,2020-12-08,0.0,1.0,0.0,0.0,0
241,2020-12-08,0.083,0.795,0.121,0.25,1
242,2020-12-08,0.111,0.817,0.072,-0.1531,-1
243,2020-12-08,0.0,1.0,0.0,0.0,0
244,2020-12-08,0.168,0.643,0.189,0.0258,1
245,2020-12-08,0.174,0.727,0.099,-0.6531,-1
246,2020-12-08,0.0,1.0,0.0,0.0,0
247,2020-12-08,0.0,0.755,0.245,0.3818,1
248,2020-12-08,0.174,0.727,0.099,-0.6531,-1
249,2020-12-08,0.0,0.863,0.137,0.5413,1
250,2020-12-08,0.174,0.727,0.099,-0.6531,-1
251,2020-12-08,0.032,0.779,0.189,0.7227,1
252,2020-12-08,0.0,0.819,0.181,0.7346,1
253,2020-12-08,0.0,0.873,0.127,0.6597,1
254,2020-12-08,0.0,0.873,0.127,0.6597,1
255,2020-12-08,0.032,0.779,0.189,0.7227,1
256,2020-12-08,0.0,1.0,0.0,0.0,0
257,2020-12-08,0.0,1.0,0.0,0.0,0
